ID_Registro,Marca de la Unidad,Año del Vehículo,Ciudad Agencia,Estado de la ciudad o Agencia,Refaccion,Precio,Fecha Compra
3984,AUDI,2015,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,371,30/08/2019
3985,VOLKSWAGEN,2014,TLALPAN,CIUDAD DE MÉXICO,FARO,3143,29/08/2019
3986,SUZUKI,2018,COYOACAN,CIUDAD DE MÉXICO,LLANTA,15816,29/08/2019
3987,AUDI,2018,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA DELANTERA,9078,28/08/2019
3988,AUDI,2018,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA DELANTERA,3441,28/08/2019
3989,DODGE,2018,LEÓN,GUANAJUATO,LLANTA,1935,30/08/2019
3990,DODGE,2018,LEÓN,GUANAJUATO,FACIA TRASERA,5167,28/08/2019
3991,NISSAN,2015,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,1389,31/08/2019
3992,NISSAN,2015,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA TRASERA,148,31/08/2019
3993,NISSAN,2015,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA TRASERA,1944,31/08/2019
3994,NISSAN,2015,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,1767,31/08/2019
3995,NISSAN,2015,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA DELANTERA,115,31/08/2019
3996,NISSAN,2015,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FACIA TRASERA,113,31/08/2019
3997,FORD,2018,CUAUHTEMOC,CIUDAD DE MÉXICO,FACIA TRASERA,3169,29/08/2019
3998,BMW,2018,LEÓN,GUANAJUATO,LLANTA,3650,29/08/2019
3999,BMW,2018,LEÓN,GUANAJUATO,LLANTA,3650,29/08/2019
4000,VOLKSWAGEN,2016,GUADALAJARA,JALISCO,FACIA TRASERA,3312,29/08/2019
4001,DODGE,2017,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA TRASERA,8179,29/08/2019
4002,VOLKSWAGEN,2018,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FARO,2465,13/04/2019
4003,VOLKSWAGEN,2018,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FARO,2465,13/04/2019
4004,VOLKSWAGEN,2018,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA DELANTERA,2003,13/04/2019
4005,VOLKSWAGEN,2018,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA DELANTERA,4233,13/04/2019
4006,HONDA,2017,ZAPOPAN,JALISCO,FACIA TRASERA,1188,04/04/2019
4008,CHEVROLET,2017,COYOACAN,CIUDAD DE MÉXICO,PUERTA TRASERA,7579,08/04/2019
4009,CHEVROLET,2017,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA DELANTERA,4383,05/04/2019
4010,CHEVROLET,2017,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA DELANTERA,252,05/04/2019
4011,VOLKSWAGEN,2016,COYOACAN,CIUDAD DE MÉXICO,FACIA DELANTERA,1929,05/04/2019
4012,VOLKSWAGEN,2016,COYOACAN,CIUDAD DE MÉXICO,FARO,1358,05/04/2019
4013,VOLKSWAGEN,2016,COYOACAN,CIUDAD DE MÉXICO,FARO,1022,05/04/2019
4014,KIA,2019,ZAPOPAN,JALISCO,FACIA TRASERA,1458,04/04/2019
4015,KIA,2019,ZAPOPAN,JALISCO,FACIA TRASERA,6477,04/04/2019
4016,MERCEDES BENZ,2018,LERMA,ESTADO DE MEXICO,FACIA DELANTERA,229,05/04/2019
4017,MERCEDES BENZ,2018,LERMA,ESTADO DE MEXICO,FARO,20901,05/04/2019
4018,MERCEDES BENZ,2018,LERMA,ESTADO DE MEXICO,FACIA TRASERA,443,05/04/2019
4019,MERCEDES BENZ,2018,LERMA,ESTADO DE MEXICO,FACIA DELANTERA,655,05/04/2019
4020,MERCEDES BENZ,2018,LERMA,ESTADO DE MEXICO,FACIA TRASERA,443,05/04/2019
4021,MERCEDES BENZ,2018,LERMA,ESTADO DE MEXICO,FACIA TRASERA,187,05/04/2019
4022,MERCEDES BENZ,2018,LERMA,ESTADO DE MEXICO,FACIA DELANTERA,11429,05/04/2019
4023,MERCEDES BENZ,2018,LERMA,ESTADO DE MEXICO,FACIA DELANTERA,715,05/04/2019
4024,MERCEDES BENZ,2018,LERMA,ESTADO DE MEXICO,FACIA TRASERA,187,05/04/2019
4025,MERCEDES BENZ,2018,LERMA,ESTADO DE MEXICO,FACIA TRASERA,10893,05/04/2019
4026,MERCEDES BENZ,2018,LERMA,ESTADO DE MEXICO,FACIA DELANTERA,841,05/04/2019
