Category,Group,Sub-Group,Account,Year,Month,Amount
Assets,Current Assets,"Deposits, Advances & Prepayments",11512,2017,January,63415
Assets,Current Assets,"Deposits, Advances & Prepayments",11512,2017,February,62158
Assets,Current Assets,"Deposits, Advances & Prepayments",11512,2017,March,62274
Assets,Current Assets,"Deposits, Advances & Prepayments",11512,2017,April,54167
Assets,Current Assets,"Deposits, Advances & Prepayments",11512,2017,May,50460
Assets,Current Assets,"Deposits, Advances & Prepayments",11512,2017,June,48586
Assets,Current Assets,"Deposits, Advances & Prepayments",11512,2017,July,38777
Assets,Current Assets,"Deposits, Advances & Prepayments",11512,2017,August,34159
Assets,Current Assets,"Deposits, Advances & Prepayments",11512,2017,September,29130
Assets,Current Assets,"Deposits, Advances & Prepayments",11512,2017,October,18931
Assets,Current Assets,"Deposits, Advances & Prepayments",11512,2017,November,19257
Assets,Current Assets,"Deposits, Advances & Prepayments",11512,2017,December,8840
Assets,Current Assets,"Deposits, Advances & Prepayments",11551,2017,January,3569
Assets,Current Assets,"Deposits, Advances & Prepayments",11551,2017,June,314
Assets,Current Assets,"Deposits, Advances & Prepayments",11551,2017,July,129
Assets,Current Assets,"Deposits, Advances & Prepayments",11551,2017,August,250
Assets,Current Assets,"Deposits, Advances & Prepayments",11551,2017,September,10000
Assets,Current Assets,"Deposits, Advances & Prepayments",11551,2017,October,25905
Assets,Current Assets,"Deposits, Advances & Prepayments",11551,2017,November,18313
Assets,Current Assets,"Deposits, Advances & Prepayments",11551,2017,December,15902
Assets,Current Assets,"Deposits, Advances & Prepayments",11551,2018,January,50902
Assets,Current Assets,"Deposits, Advances & Prepayments",11552,2017,January,472
Assets,Current Assets,"Deposits, Advances & Prepayments",11552,2017,February,472
Assets,Current Assets,"Deposits, Advances & Prepayments",11552,2017,March,472
Assets,Current Assets,"Deposits, Advances & Prepayments",11552,2017,July,10242
Assets,Current Assets,"Deposits, Advances & Prepayments",11552,2017,August,140
Assets,Current Assets,"Deposits, Advances & Prepayments",11552,2017,October,49
Assets,Current Assets,"Deposits, Advances & Prepayments",11552,2017,November,49
Assets,Current Assets,"Deposits, Advances & Prepayments",11552,2017,December,49
Assets,Current Assets,"Deposits, Advances & Prepayments",11552,2018,January,49
Assets,Current Assets,"Deposits, Advances & Prepayments",11553,2017,January,9896
Assets,Current Assets,"Deposits, Advances & Prepayments",11553,2017,February,15773
Assets,Current Assets,"Deposits, Advances & Prepayments",11553,2017,March,24735
Assets,Current Assets,"Deposits, Advances & Prepayments",11553,2017,April,21755
Assets,Current Assets,"Deposits, Advances & Prepayments",11553,2017,May,25301
Assets,Current Assets,"Deposits, Advances & Prepayments",11553,2017,June,31311
Assets,Current Assets,"Deposits, Advances & Prepayments",11553,2017,July,879
Assets,Current Assets,"Deposits, Advances & Prepayments",11553,2017,August,3654
Assets,Current Assets,"Deposits, Advances & Prepayments",11553,2017,September,11680
Assets,Current Assets,"Deposits, Advances & Prepayments",11553,2017,October,12135
Assets,Current Assets,"Deposits, Advances & Prepayments",11553,2017,November,15002
Assets,Current Assets,"Deposits, Advances & Prepayments",11553,2017,December,16697
Assets,Current Assets,"Deposits, Advances & Prepayments",11553,2018,January,22550
Assets,Current Assets,"Deposits, Advances & Prepayments",11601,2017,August,153
Assets,Current Assets,"Deposits, Advances & Prepayments",11601,2017,September,153
Assets,Current Assets,"Deposits, Advances & Prepayments",11601,2017,October,2000
Assets,Current Assets,"Deposits, Advances & Prepayments",11602,2017,January,1578
Assets,Current Assets,"Deposits, Advances & Prepayments",11602,2017,February,1181
Assets,Current Assets,"Deposits, Advances & Prepayments",11602,2017,March,25571
Assets,Current Assets,"Deposits, Advances & Prepayments",11602,2017,April,25751
Assets,Current Assets,"Deposits, Advances & Prepayments",11602,2017,May,24251
Assets,Current Assets,"Deposits, Advances & Prepayments",11602,2017,June,28224
Assets,Current Assets,"Deposits, Advances & Prepayments",11602,2017,July,28714
Assets,Current Assets,"Deposits, Advances & Prepayments",11602,2017,August,23078
Assets,Current Assets,"Deposits, Advances & Prepayments",11602,2017,September,25298
Assets,Current Assets,"Deposits, Advances & Prepayments",11602,2017,October,23933
Assets,Current Assets,"Deposits, Advances & Prepayments",11602,2017,November,23055
Assets,Current Assets,"Deposits, Advances & Prepayments",11602,2017,December,21091
Assets,Current Assets,"Deposits, Advances & Prepayments",11602,2018,January,6730
Assets,Current Assets,"Deposits, Advances & Prepayments",11603,2017,January,59
Assets,Current Assets,"Deposits, Advances & Prepayments",11603,2017,April,5000
Assets,Current Assets,"Deposits, Advances & Prepayments",11603,2017,May,5000
Assets,Current Assets,"Deposits, Advances & Prepayments",11603,2017,June,4000
Assets,Current Assets,"Deposits, Advances & Prepayments",11603,2017,July,4000
Assets,Current Assets,"Deposits, Advances & Prepayments",11603,2017,August,3000
Assets,Current Assets,"Deposits, Advances & Prepayments",11603,2017,September,4000
Assets,Current Assets,"Deposits, Advances & Prepayments",11603,2017,October,3000
Assets,Current Assets,"Deposits, Advances & Prepayments",11603,2017,November,6500
Assets,Current Assets,"Deposits, Advances & Prepayments",11603,2017,December,6000
Assets,Current Assets,"Deposits, Advances & Prepayments",11604,2017,January,3500
Assets,Current Assets,"Deposits, Advances & Prepayments",11604,2017,February,2000
Assets,Current Assets,"Deposits, Advances & Prepayments",11604,2017,March,500
Assets,Current Assets,"Deposits, Advances & Prepayments",11604,2017,April,1000
Assets,Current Assets,"Deposits, Advances & Prepayments",11604,2017,May,1000
Assets,Current Assets,"Deposits, Advances & Prepayments",11604,2017,October,2000
Assets,Current Assets,"Deposits, Advances & Prepayments",11604,2017,November,1000
Assets,Current Assets,"Deposits, Advances & Prepayments",11605,2017,July,1000
Assets,Current Assets,"Deposits, Advances & Prepayments",11606,2017,May,500
Assets,Current Assets,"Deposits, Advances & Prepayments",11606,2017,August,500
Assets,Current Assets,"Deposits, Advances & Prepayments",11606,2017,September,1000
Assets,Current Assets,"Deposits, Advances & Prepayments",11608,2017,January,'-100
Assets,Current Assets,"Deposits, Advances & Prepayments",11608,2017,August,5000
Assets,Current Assets,"Deposits, Advances & Prepayments",11608,2017,September,5409
Assets,Current Assets,"Deposits, Advances & Prepayments",11608,2017,October,3409
Assets,Current Assets,"Deposits, Advances & Prepayments",11608,2017,November,2409
Assets,Current Assets,"Deposits, Advances & Prepayments",11608,2017,December,1409
Assets,Current Assets,"Deposits, Advances & Prepayments",11609,2017,January,16850
Assets,Current Assets,"Deposits, Advances & Prepayments",11609,2017,February,15350
Assets,Current Assets,"Deposits, Advances & Prepayments",11609,2017,March,15300
Assets,Current Assets,"Deposits, Advances & Prepayments",11609,2017,April,13800
Assets,Current Assets,"Deposits, Advances & Prepayments",11609,2017,May,12300
Assets,Current Assets,"Deposits, Advances & Prepayments",11609,2017,June,15800
Assets,Current Assets,"Deposits, Advances & Prepayments",11609,2017,July,16600
Assets,Current Assets,"Deposits, Advances & Prepayments",11609,2017,August,14600
Assets,Current Assets,"Deposits, Advances & Prepayments",11609,2017,September,14600
Assets,Current Assets,"Deposits, Advances & Prepayments",11609,2017,October,14898
Assets,Current Assets,"Deposits, Advances & Prepayments",11609,2017,November,19348
Assets,Current Assets,"Deposits, Advances & Prepayments",11609,2017,December,19348
Assets,Current Assets,"Deposits, Advances & Prepayments",11610,2017,March,1500
Assets,Current Assets,"Deposits, Advances & Prepayments",11610,2017,April,1000
Assets,Current Assets,"Deposits, Advances & Prepayments",11610,2017,May,500
Assets,Current Assets,"Deposits, Advances & Prepayments",11611,2017,January,40
Assets,Current Assets,"Deposits, Advances & Prepayments",11611,2017,February,65
Assets,Current Assets,"Deposits, Advances & Prepayments",11611,2017,March,7920
Assets,Current Assets,"Deposits, Advances & Prepayments",11611,2017,April,7420
Assets,Current Assets,"Deposits, Advances & Prepayments",11611,2017,May,11260
Assets,Current Assets,"Deposits, Advances & Prepayments",11611,2017,June,6745
Assets,Current Assets,"Deposits, Advances & Prepayments",11611,2017,July,10045
